starting scheduler on Core : 0
Task C0 on 1, Pri = 1, Tick = 36725
Task C2 on 1, Pri = 3, Tick = 37222
Task C1 on 0, Pri = 2, Tick = 37225
Task C0 on 1, Pri = 1, Tick = 37228
Task C2 on 1, Pri = 3, Tick = 37725
Task C1 on 0, Pri = 2, Tick = 37728
Task C0 on 1, Pri = 1, Tick = 37731
Task C2 on 1, Pri = 3, Tick = 38228
Task C1 on 0, Pri = 2, Tick = 38231
Task C0 on 1, Pri = 1, Tick = 38234
Task C2 on 1, Pri = 3, Tick = 38731
Task C1 on 0, Pri = 2, Tick = 38734
Task C0 on 1, Pri = 1, Tick = 38737
Task C2 on 1, Pri = 3, Tick = 39234
Task C1 on 0, Pri = 2, Tick = 39237
Task C0 on 1, Pri = 1, Tick = 39240
Task C2 on 1, Pri = 3, Tick = 39737
Task C1 on 0, Pri = 2, Tick = 39740
Task C0 on 1, Pri = 1, Tick = 39743
Task C2 on 1, Pri = 3, Tick = 40240
Task C1 on 0, Pri = 2, Tick = 40243
Task C0 on 1, Pri = 1, Tick = 40246
Task C2 on 1, Pri = 3, Tick = 40743
Task C1 on 0, Pri = 2, Tick = 40746
Task C0 on 1, Pri = 1, Tick = 40749
Task C2 on 1, Pri = 3, Tick = 41246
Task C1 on 0, Pri = 2, Tick = 41249
Task C0 on 1, Pri = 1, Tick = 41252
Task C2 on 1, Pri = 3, Tick = 41749
Task C1 on 0, Pri = 2, Tick = 41752
Task C0 on 1, Pri = 1, Tick = 41755
Task C2 on 1, Pri = 3, Tick = 42252
Task C1 on 0, Pri = 2, Tick = 42255
Task C0 on 1, Pri = 1, Tick = 42258
Task C2 on 1, Pri = 3, Tick = 42755
Task C1 on 0, Pri = 2, Tick = 42758
Task C0 on 1, Pri = 1, Tick = 42761
Task C2 on 1, Pri = 3, Tick = 43258
Task C1 on 0, Pri = 2, Tick = 43261
Task C0 on 1, Pri = 1, Tick = 43264
Task C2 on 1, Pri = 3, Tick = 43761
Task C1 on 0, Pri = 2, Tick = 43764
Task C0 on 1, Pri = 1, Tick = 43767
Task C2 on 1, Pri = 3, Tick = 44264
Task C1 on 0, Pri = 2, Tick = 44267
Task C0 on 1, Pri = 1, Tick = 44270
Task C2 on 1, Pri = 3, Tick = 44767
Task C1 on 0, Pri = 2, Tick = 44770
Task C0 on 1, Pri = 1, Tick = 44773
Task C2 on 1, Pri = 3, Tick = 45270
Task C1 on 0, Pri = 2, Tick = 45273
Task C0 on 1, Pri = 1, Tick = 45276
Task C2 on 1, Pri = 3, Tick = 45773
Task C1 on 0, Pri = 2, Tick = 45776
Task C0 on 1, Pri = 1, Tick = 45779
Task C2 on 1, Pri = 3, Tick = 46276
Task C1 on 0, Pri = 2, Tick = 46279
Task C0 on 1, Pri = 1, Tick = 46282
Task C2 on 1, Pri = 3, Tick = 46779
Task C1 on 0, Pri = 2, Tick = 46782
Task C0 on 1, Pri = 1, Tick = 46785
Task C2 on 1, Pri = 3, Tick = 47282
Task C1 on 0, Pri = 2, Tick = 47285
Task C0 on 1, Pri = 1, Tick = 47288
Task C2 on 1, Pri = 3, Tick = 47785
Task C1 on 0, Pri = 2, Tick = 47788
Task C0 on 1, Pri = 1, Tick = 47791
Task C2 on 1, Pri = 3, Tick = 48288
Task C1 on 0, Pri = 2, Tick = 48291
Task C0 on 1, Pri = 1, Tick = 48294
Task C2 on 1, Pri = 3, Tick = 48791
Task C1 on 0, Pri = 2, Tick = 48794
Task C0 on 1, Pri = 1, Tick = 48797
Task C2 on 1, Pri = 3, Tick = 49294
Task C1 on 0, Pri = 2, Tick = 49297
Task C0 on 1, Pri = 1, Tick = 49300
Task C2 on 1, Pri = 3, Tick = 49797
Task C1 on 0, Pri = 2, Tick = 49800
Task C0 on 1, Pri = 1, Tick = 49803
Task C2 on 1, Pri = 3, Tick = 50300
Task C1 on 0, Pri = 2, Tick = 50303
Task C0 on 1, Pri = 1, Tick = 50306
Task C2 on 1, Pri = 3, Tick = 50803
Task C1 on 0, Pri = 2, Tick = 50806
Task C0 on 1, Pri = 1, Tick = 50809
Task C2 on 1, Pri = 3, Tick = 51306
Task C1 on 0, Pri = 2, Tick = 51309
Task C0 on 1, Pri = 1, Tick = 51312
Task C2 on 1, Pri = 3, Tick = 51809
Task C1 on 0, Pri = 2, Tick = 51812
Task C0 on 1, Pri = 1, Tick = 51815
Task C2 on 1, Pri = 3, Tick = 52312
Task C1 on 0, Pri = 2, Tick = 52315
Task C0 on 1, Pri = 1, Tick = 52318
Task C2 on 1, Pri = 3, Tick = 52815
Task C1 on 0, Pri = 2, Tick = 52818
Task C0 on 1, Pri = 1, Tick = 52821
Task C2 on 1, Pri = 3, Tick = 53318
Task C1 on 0, Pri = 2, Tick = 53321
Task C0 on 1, Pri = 1, Tick = 53324
Task C2 on 1, Pri = 3, Tick = 53821
Task C1 on 0, Pri = 2, Tick = 53824
Task C0 on 1, Pri = 1, Tick = 53827
Task C2 on 1, Pri = 3, Tick = 54324
Task C1 on 0, Pri = 2, Tick = 54327
Task C0 on 1, Pri = 1, Tick = 54330
Task C2 on 1, Pri = 3, Tick = 54827
Task C1 on 0, Pri = 2, Tick = 54830
Task C0 on 1, Pri = 1, Tick = 54833
Task C2 on 1, Pri = 3, Tick = 55330
Task C1 on 0, Pri = 2, Tick = 55333
Task C0 on 1, Pri = 1, Tick = 55336
Task C2 on 1, Pri = 3, Tick = 55833
Task C1 on 0, Pri = 2, Tick = 55836
Task C0 on 1, Pri = 1, Tick = 55839
Task C2 on 1, Pri = 3, Tick = 56336
Task C1 on 0, Pri = 2, Tick = 56339
Task C0 on 1, Pri = 1, Tick = 56342
Task C2 on 1, Pri = 3, Tick = 56839
Task C1 on 0, Pri = 2, Tick = 56842
Task C0 on 1, Pri = 1, Tick = 56845
Task C2 on 1, Pri = 3, Tick = 57342
Task C1 on 0, Pri = 2, Tick = 57345
Task C0 on 1, Pri = 1, Tick = 57348
Task C2 on 1, Pri = 3, Tick = 57845
Task C1 on 0, Pri = 2, Tick = 57848
Task C0 on 1, Pri = 1, Tick = 57851
Task C2 on 1, Pri = 3, Tick = 58348
Task C1 on 0, Pri = 2, Tick = 58351
Task C0 on 1, Pri = 1, Tick = 58354
Task C2 on 1, Pri = 3, Tick = 58851
Task C1 on 0, Pri = 2, Tick = 58854
Task C0 on 1, Pri = 1, Tick = 58857
Task C2 on 1, Pri = 3, Tick = 59354
Task C1 on 0, Pri = 2, Tick = 59357
Task C0 on 1, Pri = 1, Tick = 59360
Task C2 on 1, Pri = 3, Tick = 59857
Task C1 on 0, Pri = 2, Tick = 59860
Task C0 on 1, Pri = 1, Tick = 59863
Task C2 on 1, Pri = 3, Tick = 60360
Task C1 on 0, Pri = 2, Tick = 60363
Task C0 on 1, Pri = 1, Tick = 60366
Task C2 on 1, Pri = 3, Tick = 60863
Task C1 on 0, Pri = 2, Tick = 60866
Task C0 on 1, Pri = 1, Tick = 60869
Task C2 on 1, Pri = 3, Tick = 61366
Task C1 on 0, Pri = 2, Tick = 61369
Task C0 on 1, Pri = 1, Tick = 61372
Task C2 on 1, Pri = 3, Tick = 61869
Task C1 on 0, Pri = 2, Tick = 61872
Task C0 on 1, Pri = 1, Tick = 61875
Task C2 on 1, Pri = 3, Tick = 62372
Task C1 on 0, Pri = 2, Tick = 62375
Task C0 on 1, Pri = 1, Tick = 62378
Task C2 on 1, Pri = 3, Tick = 62875
Task C1 on 0, Pri = 2, Tick = 62878
Task C0 on 1, Pri = 1, Tick = 62881
Task C2 on 1, Pri = 3, Tick = 63378
Task C1 on 0, Pri = 2, Tick = 63381
Task C0 on 1, Pri = 1, Tick = 63384
Task C2 on 1, Pri = 3, Tick = 63881
Task C1 on 0, Pri = 2, Tick = 63884
Task C0 on 1, Pri = 1, Tick = 63887
Task C2 on 1, Pri = 3, Tick = 64384
Task C1 on 0, Pri = 2, Tick = 64387
Task C0 on 1, Pri = 1, Tick = 64390
Task C2 on 1, Pri = 3, Tick = 64887
Task C1 on 0, Pri = 2, Tick = 64890
Task C0 on 1, Pri = 1, Tick = 64893
Task C2 on 1, Pri = 3, Tick = 65390
Task C1 on 0, Pri = 2, Tick = 65393
Task C0 on 1, Pri = 1, Tick = 65396
Task C2 on 1, Pri = 3, Tick = 65893
Task C1 on 0, Pri = 2, Tick = 65896
Task C0 on 1, Pri = 1, Tick = 65899
Task C2 on 1, Pri = 3, Tick = 66396
Task C1 on 0, Pri = 2, Tick = 66399
Task C0 on 1, Pri = 1, Tick = 66402
Task C2 on 1, Pri = 3, Tick = 66899
Task C1 on 0, Pri = 2, Tick = 66902
Task C0 on 1, Pri = 1, Tick = 66905
Task C2 on 1, Pri = 3, Tick = 67402
Task C1 on 0, Pri = 2, Tick = 67405
Task C0 on 1, Pri = 1, Tick = 67408
Task C2 on 1, Pri = 3, Tick = 67905
Task C1 on 0, Pri = 2, Tick = 67908
Task C0 on 1, Pri = 1, Tick = 67911
Task C2 on 1, Pri = 3, Tick = 68408
Task C1 on 0, Pri = 2, Tick = 68411
Task C0 on 1, Pri = 1, Tick = 68414
Task C2 on 1, Pri = 3, Tick = 68911
Task C1 on 0, Pri = 2, Tick = 68914
Task C0 on 1, Pri = 1, Tick = 68917
Task C2 on 1, Pri = 3, Tick = 69414
Task C1 on 0, Pri = 2, Tick = 69417
Task C0 on 1, Pri = 1, Tick = 69420
